date,open,high,low,close,Volume,Quote_Volume,Trades_Count
2020-07-08 01:20:00,9263.05,9263.74,9259.01,9260.3,39.0,357659.0,554
2020-07-08 01:21:00,9261.37,9264.18,9260.66,9262.47,18.0,171356.0,380
2020-07-08 01:22:00,9262.47,9262.68,9258.01,9259.15,17.0,158659.0,408
2020-07-08 01:23:00,9259.14,9261.65,9255.46,9259.76,32.0,294713.0,474
2020-07-08 01:24:00,9259.83,9260.61,9256.34,9259.36,34.0,313552.0,293
2020-07-08 01:25:00,9259.67,9263.5,9259.25,9259.76,14.0,133248.0,418
2020-07-08 01:26:00,9259.78,9264.94,9259.41,9263.95,13.0,119168.0,303
2020-07-08 01:27:00,9264.1,9266.1,9263.55,9265.39,18.0,166681.0,333
2020-07-08 01:28:00,9265.39,9268.0,9265.38,9268.0,26.0,245429.0,346
2020-07-08 01:29:00,9268.0,9268.72,9264.52,9264.77,20.0,182952.0,312
2020-07-08 01:30:00,9265.03,9270.68,9265.03,9269.33,27.0,251257.0,349
2020-07-08 01:31:00,9269.95,9270.82,9268.28,9268.28,13.0,122104.0,275
2020-07-08 01:32:00,9268.4,9271.45,9268.29,9270.26,20.0,181028.0,315
2020-07-08 01:33:00,9270.27,9270.4,9264.44,9266.89,39.0,361822.0,405
2020-07-08 01:34:00,9267.43,9268.22,9264.78,9265.03,19.0,175984.0,192
2020-07-08 01:35:00,9265.98,9267.11,9264.78,9266.66,17.0,158950.0,201
2020-07-08 01:36:00,9266.44,9270.14,9264.41,9265.6,21.0,198840.0,360
2020-07-08 01:37:00,9265.19,9267.67,9264.22,9267.66,13.0,122799.0,225
2020-07-08 01:38:00,9267.66,9268.18,9265.65,9266.61,24.0,219003.0,299
2020-07-08 01:39:00,9266.7,9268.53,9265.81,9266.9,28.0,259477.0,314
2020-07-08 01:40:00,9266.9,9268.67,9261.28,9265.09,32.0,298983.0,477
2020-07-08 01:41:00,9265.1,9265.62,9263.81,9263.81,30.0,280120.0,369
2020-07-08 01:42:00,9263.81,9263.82,9260.62,9260.66,18.0,166740.0,384
2020-07-08 01:43:00,9260.66,9261.07,9257.75,9260.39,27.0,249060.0,559
2020-07-08 01:44:00,9260.24,9262.11,9259.0,9260.31,35.0,319831.0,395
2020-07-08 01:45:00,9260.31,9266.01,9260.3,9266.0,17.0,159666.0,339
